time,beat,loudness,low,mid,high
0.0000,0,1.0000,1.0000,0.0000,1.0000
0.0333,0,0.0341,0.1007,0.0000,0.0000
0.0667,0,0.0462,0.0684,0.0000,0.0000
0.1000,0,0.0610,0.0594,0.0000,0.0000
0.1333,0,0.0024,0.0099,0.0000,0.0000
0.1667,0,0.0023,0.0046,0.0000,0.0000
0.2000,0,0.0005,0.0010,0.0000,0.0000
0.2333,0,0.0000,0.0002,0.0000,0.0000
0.2667,0,0.0000,0.0000,0.0000,0.0000
0.3000,0,0.0000,0.0000,0.0000,0.0000
0.3333,0,0.0000,0.0000,0.0000,0.0000
0.3667,0,0.0013,0.0020,0.0000,0.0000
0.4000,0,0.0024,0.0159,0.0000,0.0000
0.4333,0,0.0133,0.0687,0.0000,0.0000
0.4667,0,0.2155,0.3716,0.0000,0.5477
0.5000,1,1.0000,0.9999,0.0000,1.0000
0.5333,0,0.0695,0.2598,0.0000,0.0000
0.5667,0,0.0480,0.1049,0.0000,0.0000
0.6000,0,0.0592,0.0632,0.0000,0.0000
0.6333,0,0.0026,0.0095,0.0000,0.0000
0.6667,0,0.0023,0.0046,0.0000,0.0000
0.7000,0,0.0005,0.0010,0.0000,0.0000
0.7333,0,0.0000,0.0002,0.0000,0.0000
0.7667,0,0.0000,0.0000,0.0000,0.0000
0.8000,0,0.0000,0.0000,0.0000,0.0000
0.8333,0,0.0000,0.0000,0.0000,0.0000
0.8667,0,0.0013,0.0020,0.0000,0.0000
0.9000,0,0.0024,0.0159,0.0000,0.0000
0.9333,0,0.0135,0.0687,0.0000,0.0000
0.9667,0,0.2156,0.3716,0.0000,0.5477
1.0000,1,1.0000,1.0000,0.0000,1.0000
1.0333,0,0.0702,0.2603,0.0000,0.0000
1.0667,0,0.0477,0.1044,0.0000,0.0000
1.1000,0,0.0590,0.0631,0.0000,0.0000
1.1333,0,0.0026,0.0097,0.0000,0.0000
1.1667,0,0.0023,0.0046,0.0000,0.0000
1.2000,0,0.0005,0.0010,0.0000,0.0000
1.2333,0,0.0000,0.0002,0.0000,0.0000
1.2667,0,0.0000,0.0000,0.0000,0.0000
1.3000,0,0.0000,0.0000,0.0000,0.0000
1.3333,0,0.0000,0.0000,0.0000,0.0000
1.3667,0,0.0013,0.0018,0.0000,0.0000
1.4000,0,0.0025,0.0145,0.0000,0.0000
1.4333,0,0.0112,0.0632,0.0000,0.0000
1.4667,0,0.1976,0.3454,0.0000,0.5477
1.5000,1,0.9116,0.9065,0.0000,1.0000
1.5333,0,0.0453,0.2174,0.0000,0.0000
1.5667,0,0.0506,0.1119,0.0000,0.0000
1.6000,0,0.0586,0.0624,0.0000,0.0000
1.6333,0,0.0025,0.0097,0.0000,0.0000
1.6667,0,0.0023,0.0046,0.0000,0.0000
1.7000,0,0.0005,0.0010,0.0000,0.0000
1.7333,0,0.0000,0.0002,0.0000,0.0000
1.7667,0,0.0000,0.0000,0.0000,0.0000
1.8000,0,0.0000,0.0000,0.0000,0.0000
1.8333,0,0.0000,0.0000,0.0000,0.0000
1.8667,0,0.0013,0.0020,0.0000,0.0000
1.9000,0,0.0024,0.0159,0.0000,0.0000
1.9333,0,0.0135,0.0687,0.0000,0.0000
1.9667,0,0.2158,0.3718,0.0000,0.5477
2.0000,1,1.0000,1.0000,0.0000,1.0000
2.0333,0,0.0716,0.2623,0.0000,0.0000
2.0667,0,0.0480,0.1046,0.0000,0.0000
2.1000,0,0.0591,0.0630,0.0000,0.0000
2.1333,0,0.0025,0.0094,0.0000,0.0000
2.1667,0,0.0023,0.0045,0.0000,0.0000
2.2000,0,0.0005,0.0010,0.0000,0.0000
2.2333,0,0.0000,0.0002,0.0000,0.0000
2.2667,0,0.0000,0.0000,0.0000,0.0000
2.3000,0,0.0000,0.0000,0.0000,0.0000
2.3333,0,0.0000,0.0000,0.0000,0.0000
2.3667,0,0.0013,0.0020,0.0000,0.0000
2.4000,0,0.0024,0.0159,0.0000,0.0000
2.4333,0,0.0135,0.0687,0.0000,0.0000
2.4667,0,0.2158,0.3718,0.0000,0.5477
2.5000,1,1.0000,1.0000,0.0000,1.0000
2.5333,0,0.0696,0.2602,0.0000,0.0000
2.5667,0,0.0482,0.1054,0.0000,0.0000
2.6000,0,0.0592,0.0632,0.0000,0.0000
2.6333,0,0.0026,0.0097,0.0000,0.0000
2.6667,0,0.0023,0.0046,0.0000,0.0000
2.7000,0,0.0005,0.0010,0.0000,0.0000
2.7333,0,0.0000,0.0002,0.0000,0.0000
2.7667,0,0.0000,0.0000,0.0000,0.0000
2.8000,0,0.0000,0.0000,0.0000,0.0000
2.8333,0,0.0000,0.0000,0.0000,0.0000
2.8667,0,0.0013,0.0020,0.0000,0.0000
2.9000,0,0.0024,0.0159,0.0000,0.0000
2.9333,0,0.0135,0.0687,0.0000,0.0000
2.9667,0,0.2157,0.3718,0.0000,0.5477
3.0000,1,1.0000,1.0000,0.0000,1.0000
3.0333,0,0.0700,0.2601,0.0000,0.0000
3.0667,0,0.0474,0.1043,0.0000,0.0000
3.1000,0,0.0591,0.0630,0.0000,0.0000
3.1333,0,0.0026,0.0094,0.0000,0.0000
3.1667,0,0.0023,0.0045,0.0000,0.0000
3.2000,0,0.0005,0.0010,0.0000,0.0000
3.2333,0,0.0000,0.0002,0.0000,0.0000
3.2667,0,0.0000,0.0000,0.0000,0.0000
3.3000,0,0.0000,0.0000,0.0000,0.0000
3.3333,0,0.0000,0.0000,0.0000,0.0000
3.3667,0,0.0010,0.0021,0.0000,0.0000
3.4000,0,0.0015,0.0157,0.0000,0.0000
3.4333,0,0.0161,0.0671,0.0000,0.0000
3.4667,0,0.2160,0.3539,0.0000,0.5477
3.5000,1,0.9426,0.9480,0.0000,1.0000
3.5333,0,0.0843,0.2473,0.0000,0.0000
3.5667,0,0.0432,0.0958,0.0000,0.0000
3.6000,0,0.0581,0.0620,0.0000,0.0000
3.6333,0,0.0027,0.0098,0.0000,0.0000
3.6667,0,0.0023,0.0046,0.0000,0.0000
3.7000,0,0.0005,0.0010,0.0000,0.0000
3.7333,0,0.0000,0.0002,0.0000,0.0000
3.7667,0,0.0000,0.0000,0.0000,0.0000
3.8000,0,0.0000,0.0000,0.0000,0.0000
3.8333,0,0.0000,0.0000,0.0000,0.0000
3.8667,0,0.0013,0.0020,0.0000,0.0000
3.9000,0,0.0024,0.0159,0.0000,0.0000
3.9333,0,0.0135,0.0687,0.0000,0.0000
3.9667,0,0.2156,0.3717,0.0000,0.5477
4.0000,1,1.0000,1.0000,0.0000,1.0000
4.0333,0,0.0699,0.2602,0.0000,0.0000
4.0667,0,0.0482,0.1052,0.0000,0.0000
4.1000,0,0.0592,0.0631,0.0000,0.0000
4.1333,0,0.0026,0.0097,0.0000,0.0000
4.1667,0,0.0023,0.0046,0.0000,0.0000
4.2000,0,0.0005,0.0010,0.0000,0.0000
4.2333,0,0.0000,0.0002,0.0000,0.0000
4.2667,0,0.0000,0.0000,0.0000,0.0000
4.3000,0,0.0000,0.0000,0.0000,0.0000
4.3333,0,0.0000,0.0000,0.0000,0.0000
4.3667,0,0.0013,0.0020,0.0000,0.0000
4.4000,0,0.0024,0.0159,0.0000,0.0000
4.4333,0,0.0135,0.0687,0.0000,0.0000
4.4667,0,0.2156,0.3716,0.0000,0.5477
4.5000,1,1.0000,1.0000,0.0000,1.0000
4.5333,0,0.0696,0.2597,0.0000,0.0000
4.5667,0,0.0477,0.1048,0.0000,0.0000
4.6000,0,0.0592,0.0634,0.0000,0.0000
4.6333,0,0.0026,0.0095,0.0000,0.0000
4.6667,0,0.0023,0.0046,0.0000,0.0000
4.7000,0,0.0005,0.0010,0.0000,0.0000
4.7333,0,0.0000,0.0002,0.0000,0.0000
4.7667,0,0.0000,0.0000,0.0000,0.0000
4.8000,0,0.0000,0.0000,0.0000,0.0000
4.8333,0,0.0000,0.0000,0.0000,0.0000
4.8667,0,0.0013,0.0020,0.0000,0.0000
4.9000,0,0.0024,0.0159,0.0000,0.0000
4.9333,0,0.0135,0.0687,0.0000,0.0000
4.9667,0,0.2155,0.3716,0.0000,0.5477
5.0000,1,1.0000,1.0000,0.0000,1.0000
5.0333,0,0.0697,0.2597,0.0000,0.0000
5.0667,0,0.0480,0.1049,0.0000,0.0000
5.1000,0,0.0592,0.0631,0.0000,0.0000
5.1333,0,0.0026,0.0097,0.0000,0.0000
5.1667,0,0.0023,0.0046,0.0000,0.0000
5.2000,0,0.0005,0.0010,0.0000,0.0000
5.2333,0,0.0000,0.0002,0.0000,0.0000
5.2667,0,0.0000,0.0000,0.0000,0.0000
5.3000,0,0.0000,0.0000,0.0000,0.0000
5.3333,0,0.0000,0.0000,0.0000,0.0000
5.3667,0,0.0015,0.0019,0.0000,0.0000
5.4000,0,0.0038,0.0154,0.0000,0.0000
5.4333,0,0.0102,0.0690,0.0000,0.0000
5.4667,0,0.2081,0.3824,0.0000,0.5477
5.5000,1,1.0000,1.0000,0.0000,1.0000
5.5333,0,0.0708,0.2853,0.0000,0.0000
5.5667,0,0.0472,0.1133,0.0000,0.0000
5.6000,0,0.0604,0.0658,0.0000,0.0000
5.6333,0,0.0021,0.0085,0.0000,0.0000
5.6667,0,0.0021,0.0043,0.0000,0.0000
5.7000,0,0.0005,0.0010,0.0000,0.0000
5.7333,0,0.0000,0.0002,0.0000,0.0000
5.7667,0,0.0000,0.0000,0.0000,0.0000
5.8000,0,0.0000,0.0000,0.0000,0.0000
5.8333,0,0.0000,0.0000,0.0000,0.0000
5.8667,0,0.0013,0.0020,0.0000,0.0000
5.9000,0,0.0024,0.0159,0.0000,0.0000
5.9333,0,0.0135,0.0687,0.0000,0.0000
5.9667,0,0.2158,0.3718,0.0000,0.5477
6.0000,1,1.0000,1.0000,0.0000,1.0000
6.0333,0,0.0712,0.2619,0.0000,0.0000
6.0667,0,0.0480,0.1048,0.0000,0.0000
6.1000,0,0.0591,0.0631,0.0000,0.0000
6.1333,0,0.0026,0.0097,0.0000,0.0000
6.1667,0,0.0023,0.0046,0.0000,0.0000
6.2000,0,0.0005,0.0010,0.0000,0.0000
6.2333,0,0.0000,0.0002,0.0000,0.0000
6.2667,0,0.0000,0.0000,0.0000,0.0000
6.3000,0,0.0000,0.0000,0.0000,0.0000
6.3333,0,0.0000,0.0000,0.0000,0.0000
6.3667,0,0.0013,0.0020,0.0000,0.0000
6.4000,0,0.0024,0.0159,0.0000,0.0000
6.4333,0,0.0135,0.0687,0.0000,0.0000
6.4667,0,0.2156,0.3716,0.0000,0.5477
6.5000,1,1.0000,1.0000,0.0000,1.0000
6.5333,0,0.0704,0.2607,0.0000,0.0000
6.5667,0,0.0487,0.1050,0.0000,0.0000
6.6000,0,0.0587,0.0626,0.0000,0.0000
6.6333,0,0.0026,0.0097,0.0000,0.0000
6.6667,0,0.0023,0.0046,0.0000,0.0000
6.7000,0,0.0005,0.0010,0.0000,0.0000
6.7333,0,0.0000,0.0002,0.0000,0.0000
6.7667,0,0.0000,0.0000,0.0000,0.0000
6.8000,0,0.0000,0.0000,0.0000,0.0000
6.8333,0,0.0000,0.0000,0.0000,0.0000
6.8667,0,0.0013,0.0020,0.0000,0.0000
6.9000,0,0.0024,0.0159,0.0000,0.0000
6.9333,0,0.0135,0.0689,0.0000,0.0000
6.9667,0,0.2160,0.3724,0.0000,0.5477
7.0000,1,1.0000,1.0000,0.0000,1.0000
7.0333,0,0.0711,0.2619,0.0000,0.0000
7.0667,0,0.0480,0.1048,0.0000,0.0000
7.1000,0,0.0592,0.0632,0.0000,0.0000
7.1333,0,0.0026,0.0095,0.0000,0.0000
7.1667,0,0.0023,0.0046,0.0000,0.0000
7.2000,0,0.0005,0.0010,0.0000,0.0000
7.2333,0,0.0000,0.0002,0.0000,0.0000
7.2667,0,0.0000,0.0000,0.0000,0.0000
7.3000,0,0.0000,0.0000,0.0000,0.0000
7.3333,0,0.0000,0.0000,0.0000,0.0000
7.3667,0,0.0011,0.0020,0.0000,0.0000
7.4000,0,0.0020,0.0155,0.0000,0.0000
7.4333,0,0.0137,0.0661,0.0000,0.0000
7.4667,0,0.2105,0.3555,0.0000,0.5477
7.5000,1,0.9530,0.9617,0.0000,1.0000
7.5333,0,0.0475,0.2067,0.0000,0.0000
7.5667,0,0.0486,0.1073,0.0000,0.0000
7.6000,0,0.0583,0.0623,0.0000,0.0000
7.6333,0,0.0027,0.0097,0.0000,0.0000
7.6667,0,0.0023,0.0046,0.0000,0.0000
7.7000,0,0.0005,0.0010,0.0000,0.0000
7.7333,0,0.0000,0.0002,0.0000,0.0000
7.7667,0,0.0000,0.0000,0.0000,0.0000
7.8000,0,0.0000,0.0000,0.0000,0.0000
7.8333,0,0.0000,0.0000,0.0000,0.0000
7.8667,0,0.0013,0.0020,0.0000,0.0000
7.9000,0,0.0024,0.0159,0.0000,0.0000
7.9333,0,0.0135,0.0687,0.0000,0.0000
7.9667,0,0.2157,0.3718,0.0000,0.5477
8.0000,1,1.0000,1.0000,0.0000,1.0000
8.0333,0,0.0710,0.2612,0.0000,0.0000
8.0667,0,0.0483,0.1049,0.0000,0.0000
8.1000,0,0.0590,0.0629,0.0000,0.0000
8.1333,0,0.0026,0.0097,0.0000,0.0000
8.1667,0,0.0023,0.0046,0.0000,0.0000
8.2000,0,0.0005,0.0010,0.0000,0.0000
8.2333,0,0.0000,0.0002,0.0000,0.0000
8.2667,0,0.0000,0.0000,0.0000,0.0000
8.3000,0,0.0000,0.0000,0.0000,0.0000
8.3333,0,0.0000,0.0000,0.0000,0.0000
8.3667,0,0.0013,0.0020,0.0000,0.0000
8.4000,0,0.0024,0.0159,0.0000,0.0000
8.4333,0,0.0135,0.0687,0.0000,0.0000
8.4667,0,0.2157,0.3718,0.0000,0.5477
8.5000,1,1.0000,1.0000,0.0000,1.0000
8.5333,0,0.0702,0.2604,0.0000,0.0000
8.5667,0,0.0482,0.1049,0.0000,0.0000
8.6000,0,0.0589,0.0627,0.0000,0.0000
8.6333,0,0.0026,0.0097,0.0000,0.0000
8.6667,0,0.0023,0.0046,0.0000,0.0000
8.7000,0,0.0005,0.0010,0.0000,0.0000
8.7333,0,0.0000,0.0002,0.0000,0.0000
8.7667,0,0.0000,0.0000,0.0000,0.0000
8.8000,0,0.0000,0.0000,0.0000,0.0000
8.8333,0,0.0000,0.0000,0.0000,0.0000
8.8667,0,0.0013,0.0020,0.0000,0.0000
8.9000,0,0.0024,0.0159,0.0000,0.0000
8.9333,0,0.0135,0.0687,0.0000,0.0000
8.9667,0,0.2155,0.3712,0.0000,0.5477
9.0000,1,0.9998,1.0000,0.0000,1.0000
9.0333,0,0.0692,0.2588,0.0000,0.0000
9.0667,0,0.0478,0.1046,0.0000,0.0000
9.1000,0,0.0589,0.0629,0.0000,0.0000
9.1333,0,0.0026,0.0097,0.0000,0.0000
9.1667,0,0.0023,0.0046,0.0000,0.0000
9.2000,0,0.0005,0.0010,0.0000,0.0000
9.2333,0,0.0000,0.0002,0.0000,0.0000
9.2667,0,0.0000,0.0000,0.0000,0.0000
9.3000,0,0.0000,0.0000,0.0000,0.0000
9.3333,0,0.0001,0.0000,0.0000,0.0000
9.3667,0,0.0014,0.0021,0.0000,0.0000
9.4000,0,0.0031,0.0165,0.0000,0.0000
9.4333,0,0.0131,0.0723,0.0000,0.0000
9.4667,0,0.2266,0.3978,0.0000,0.5477
9.5000,1,1.0000,1.0000,0.0000,1.0000
9.5333,0,0.0551,0.2360,0.0000,0.0000
9.5667,0,0.0552,0.1145,0.0000,0.0000
9.6000,0,0.0600,0.0637,0.0000,0.0000
9.6333,0,0.0025,0.0095,0.0000,0.0000
9.6667,0,0.0023,0.0046,0.0000,0.0000
9.7000,0,0.0005,0.0010,0.0000,0.0000
9.7333,0,0.0000,0.0002,0.0000,0.0000
9.7667,0,0.0000,0.0000,0.0000,0.0000
9.8000,0,0.0000,0.0000,0.0000,0.0000
9.8333,0,0.0000,0.0000,0.0000,0.0000
9.8667,0,0.0000,0.0000,0.0000,0.0000
9.9000,0,0.0000,0.0000,0.0000,0.0000
9.9333,0,0.0000,0.0000,0.0000,0.0000
9.9667,0,0.0000,0.0000,0.0000,0.0000
